Year,Marital status of mother,Age class of mother,Sex of child,Birth order,Age class of father,Count
2007,Other,40-44 years,Boy,Second child,45-49 years,0
2007,Other,45-49 years,Boy,Second child,45-49 years,0
2007,Other,50 years or older,Boy,Second child,45-49 years,0
2007,Married,Less than 20 years,Boy,Third child,45-49 years,0
2007,Married,20-24 years,Boy,Third child,45-49 years,2
2007,Married,25-29 years,Boy,Third child,45-49 years,4
2007,Married,30-34 years,Boy,Third child,45-49 years,29
2007,Married,35-39 years,Boy,Third child,45-49 years,100
2007,Married,40-44 years,Boy,Third child,45-49 years,56
2007,Married,45-49 years,Boy,Third child,45-49 years,5
2007,Married,50 years or older,Boy,Third child,45-49 years,0
2007,Other,Less than 20 years,Boy,Third child,45-49 years,0
2007,Other,20-24 years,Boy,Third child,45-49 years,0
2007,Other,25-29 years,Boy,Third child,45-49 years,0
2007,Other,30-34 years,Boy,Third child,45-49 years,0
2007,Other,35-39 years,Boy,Third child,45-49 years,0
2007,Other,40-44 years,Boy,Third child,45-49 years,0
2007,Other,45-49 years,Boy,Third child,45-49 years,0
2007,Other,50 years or older,Boy,Third child,45-49 years,0
2007,Married,Less than 20 years,Boy,Forth child or more,45-49 years,0
2007,Married,20-24 years,Boy,Forth child or more,45-49 years,0
2007,Married,25-29 years,Boy,Forth child or more,45-49 years,1
2007,Married,30-34 years,Boy,Forth child or more,45-49 years,8
2007,Married,35-39 years,Boy,Forth child or more,45-49 years,44
2007,Married,40-44 years,Boy,Forth child or more,45-49 years,39
2007,Married,45-49 years,Boy,Forth child or more,45-49 years,6
2007,Married,50 years or older,Boy,Forth child or more,45-49 years,1
2007,Other,Less than 20 years,Boy,Forth child or more,45-49 years,0
2007,Other,20-24 years,Boy,Forth child or more,45-49 years,0
2007,Other,25-29 years,Boy,Forth child or more,45-49 years,0
2007,Other,30-34 years,Boy,Forth child or more,45-49 years,0
2007,Other,35-39 years,Boy,Forth child or more,45-49 years,0
2007,Other,40-44 years,Boy,Forth child or more,45-49 years,0
2007,Other,45-49 years,Boy,Forth child or more,45-49 years,0
2007,Other,50 years or older,Boy,Forth child or more,45-49 years,0
2007,Married,Less than 20 years,Boy,Mother not married,45-49 years,0
2007,Married,20-24 years,Boy,Mother not married,45-49 years,0
2007,Married,25-29 years,Boy,Mother not married,45-49 years,0
2007,Married,30-34 years,Boy,Mother not married,45-49 years,0
2007,Married,35-39 years,Boy,Mother not married,45-49 years,0
2007,Married,40-44 years,Boy,Mother not married,45-49 years,0
2007,Married,45-49 years,Boy,Mother not married,45-49 years,0
2007,Married,50 years or older,Boy,Mother not married,45-49 years,0
2007,Other,Less than 20 years,Boy,Mother not married,45-49 years,0
2007,Other,20-24 years,Boy,Mother not married,45-49 years,10
2007,Other,25-29 years,Boy,Mother not married,45-49 years,25
2007,Other,30-34 years,Boy,Mother not married,45-49 years,69
2007,Other,35-39 years,Boy,Mother not married,45-49 years,113
2007,Other,40-44 years,Boy,Mother not married,45-49 years,48
2007,Other,45-49 years,Boy,Mother not married,45-49 years,6
2007,Other,50 years or older,Boy,Mother not married,45-49 years,0
2007,Married,Less than 20 years,Girl,First child,45-49 years,0
2007,Married,20-24 years,Girl,First child,45-49 years,14
2007,Married,25-29 years,Girl,First child,45-49 years,63
2007,Married,30-34 years,Girl,First child,45-49 years,132
2007,Married,35-39 years,Girl,First child,45-49 years,149
2007,Married,40-44 years,Girl,First child,45-49 years,89
2007,Married,45-49 years,Girl,First child,45-49 years,14
2007,Married,50 years or older,Girl,First child,45-49 years,0
2007,Other,Less than 20 years,Girl,First child,45-49 years,0
2007,Other,20-24 years,Girl,First child,45-49 years,0
2007,Other,25-29 years,Girl,First child,45-49 years,0
2007,Other,30-34 years,Girl,First child,45-49 years,0
2007,Other,35-39 years,Girl,First child,45-49 years,0
2007,Other,40-44 years,Girl,First child,45-49 years,0
2007,Other,45-49 years,Girl,First child,45-49 years,0
2007,Other,50 years or older,Girl,First child,45-49 years,0
2007,Married,Less than 20 years,Girl,Second child,45-49 years,0
2007,Married,20-24 years,Girl,Second child,45-49 years,3
2007,Married,25-29 years,Girl,Second child,45-49 years,44
2007,Married,30-34 years,Girl,Second child,45-49 years,108
2007,Married,35-39 years,Girl,Second child,45-49 years,185
2007,Married,40-44 years,Girl,Second child,45-49 years,108
2007,Married,45-49 years,Girl,Second child,45-49 years,10
2007,Married,50 years or older,Girl,Second child,45-49 years,0
2007,Other,Less than 20 years,Girl,Second child,45-49 years,0
2007,Other,20-24 years,Girl,Second child,45-49 years,0
2007,Other,25-29 years,Girl,Second child,45-49 years,0
2007,Other,30-34 years,Girl,Second child,45-49 years,0
2007,Other,35-39 years,Girl,Second child,45-49 years,0
2007,Other,40-44 years,Girl,Second child,45-49 years,0
2007,Other,45-49 years,Girl,Second child,45-49 years,0
2007,Other,50 years or older,Girl,Second child,45-49 years,0
2007,Married,Less than 20 years,Girl,Third child,45-49 years,0
2007,Married,20-24 years,Girl,Third child,45-49 years,0
2007,Married,25-29 years,Girl,Third child,45-49 years,10
2007,Married,30-34 years,Girl,Third child,45-49 years,38
2007,Married,35-39 years,Girl,Third child,45-49 years,83
2007,Married,40-44 years,Girl,Third child,45-49 years,51
2007,Married,45-49 years,Girl,Third child,45-49 years,2
2007,Married,50 years or older,Girl,Third child,45-49 years,0
2007,Other,Less than 20 years,Girl,Third child,45-49 years,0
2007,Other,20-24 years,Girl,Third child,45-49 years,0
2007,Other,25-29 years,Girl,Third child,45-49 years,0
2007,Other,30-34 years,Girl,Third child,45-49 years,0
2007,Other,35-39 years,Girl,Third child,45-49 years,0
2007,Other,40-44 years,Girl,Third child,45-49 years,0
2007,Other,45-49 years,Girl,Third child,45-49 years,0
2007,Other,50 years or older,Girl,Third child,45-49 years,0
2007,Married,Less than 20 years,Girl,Forth child or more,45-49 years,0
2007,Married,20-24 years,Girl,Forth child or more,45-49 years,0
2007,Married,25-29 years,Girl,Forth child or more,45-49 years,3
2007,Married,30-34 years,Girl,Forth child or more,45-49 years,11
2007,Married,35-39 years,Girl,Forth child or more,45-49 years,37
2007,Married,40-44 years,Girl,Forth child or more,45-49 years,39
2007,Married,45-49 years,Girl,Forth child or more,45-49 years,7
2007,Married,50 years or older,Girl,Forth child or more,45-49 years,0
2007,Other,Less than 20 years,Girl,Forth child or more,45-49 years,0
2007,Other,20-24 years,Girl,Forth child or more,45-49 years,0
2007,Other,25-29 years,Girl,Forth child or more,45-49 years,0
2007,Other,30-34 years,Girl,Forth child or more,45-49 years,0
2007,Other,35-39 years,Girl,Forth child or more,45-49 years,0
2007,Other,40-44 years,Girl,Forth child or more,45-49 years,0
2007,Other,45-49 years,Girl,Forth child or more,45-49 years,0
2007,Other,50 years or older,Girl,Forth child or more,45-49 years,0
2007,Married,Less than 20 years,Girl,Mother not married,45-49 years,0
2007,Married,20-24 years,Girl,Mother not married,45-49 years,0
2007,Married,25-29 years,Girl,Mother not married,45-49 years,0
2007,Married,30-34 years,Girl,Mother not married,45-49 years,0
2007,Married,35-39 years,Girl,Mother not married,45-49 years,0
2007,Married,40-44 years,Girl,Mother not married,45-49 years,0
2007,Married,45-49 years,Girl,Mother not married,45-49 years,0
2007,Married,50 years or older,Girl,Mother not married,45-49 years,0
2007,Other,Less than 20 years,Girl,Mother not married,45-49 years,0
2007,Other,20-24 years,Girl,Mother not married,45-49 years,5
2007,Other,25-29 years,Girl,Mother not married,45-49 years,22
2007,Other,30-34 years,Girl,Mother not married,45-49 years,70
2007,Other,35-39 years,Girl,Mother not married,45-49 years,91
2007,Other,40-44 years,Girl,Mother not married,45-49 years,50
2007,Other,45-49 years,Girl,Mother not married,45-49 years,9
2007,Other,50 years or older,Girl,Mother not married,45-49 years,0
2008,Married,Less than 20 years,Boy,First child,45-49 years,0
2008,Married,20-24 years,Boy,First child,45-49 years,13
2008,Married,25-29 years,Boy,First child,45-49 years,72
2008,Married,30-34 years,Boy,First child,45-49 years,134
2008,Married,35-39 years,Boy,First child,45-49 years,170
2008,Married,40-44 years,Boy,First child,45-49 years,96
2008,Married,45-49 years,Boy,First child,45-49 years,11
2008,Married,50 years or older,Boy,First child,45-49 years,0
2008,Other,Less than 20 years,Boy,First child,45-49 years,0
2008,Other,20-24 years,Boy,First child,45-49 years,0
2008,Other,25-29 years,Boy,First child,45-49 years,0
2008,Other,30-34 years,Boy,First child,45-49 years,0
2008,Other,35-39 years,Boy,First child,45-49 years,0
2008,Other,40-44 years,Boy,First child,45-49 years,0
2008,Other,45-49 years,Boy,First child,45-49 years,0
2008,Other,50 years or older,Boy,First child,45-49 years,0
2008,Married,Less than 20 years,Boy,Second child,45-49 years,0
2008,Married,20-24 years,Boy,Second child,45-49 years,8
2008,Married,25-29 years,Boy,Second child,45-49 years,38
2008,Married,30-34 years,Boy,Second child,45-49 years,139
2008,Married,35-39 years,Boy,Second child,45-49 years,211
2008,Married,40-44 years,Boy,Second child,45-49 years,108
2008,Married,45-49 years,Boy,Second child,45-49 years,6
2008,Married,50 years or older,Boy,Second child,45-49 years,0
2008,Other,Less than 20 years,Boy,Second child,45-49 years,0
2008,Other,20-24 years,Boy,Second child,45-49 years,0
2008,Other,25-29 years,Boy,Second child,45-49 years,0
2008,Other,30-34 years,Boy,Second child,45-49 years,0
2008,Other,35-39 years,Boy,Second child,45-49 years,0
2008,Other,40-44 years,Boy,Second child,45-49 years,0
2008,Other,45-49 years,Boy,Second child,45-49 years,0
2008,Other,50 years or older,Boy,Second child,45-49 years,0
2008,Married,Less than 20 years,Boy,Third child,45-49 years,0
2008,Married,20-24 years,Boy,Third child,45-49 years,0
2008,Married,25-29 years,Boy,Third child,45-49 years,9
2008,Married,30-34 years,Boy,Third child,45-49 years,42
2008,Married,35-39 years,Boy,Third child,45-49 years,83
2008,Married,40-44 years,Boy,Third child,45-49 years,58
2008,Married,45-49 years,Boy,Third child,45-49 years,3
2008,Married,50 years or older,Boy,Third child,45-49 years,0
2008,Other,Less than 20 years,Boy,Third child,45-49 years,0
2008,Other,20-24 years,Boy,Third child,45-49 years,0
2008,Other,25-29 years,Boy,Third child,45-49 years,0
2008,Other,30-34 years,Boy,Third child,45-49 years,0
2008,Other,35-39 years,Boy,Third child,45-49 years,0
2008,Other,40-44 years,Boy,Third child,45-49 years,0
2008,Other,45-49 years,Boy,Third child,45-49 years,0
2008,Other,50 years or older,Boy,Third child,45-49 years,0
2008,Married,Less than 20 years,Boy,Forth child or more,45-49 years,0
2008,Married,20-24 years,Boy,Forth child or more,45-49 years,0
2008,Married,25-29 years,Boy,Forth child or more,45-49 years,2
2008,Married,30-34 years,Boy,Forth child or more,45-49 years,22
2008,Married,35-39 years,Boy,Forth child or more,45-49 years,49
2008,Married,40-44 years,Boy,Forth child or more,45-49 years,55
2008,Married,45-49 years,Boy,Forth child or more,45-49 years,4
2008,Married,50 years or older,Boy,Forth child or more,45-49 years,0
2008,Other,Less than 20 years,Boy,Forth child or more,45-49 years,0
2008,Other,20-24 years,Boy,Forth child or more,45-49 years,0
2008,Other,25-29 years,Boy,Forth child or more,45-49 years,0
2008,Other,30-34 years,Boy,Forth child or more,45-49 years,0
2008,Other,35-39 years,Boy,Forth child or more,45-49 years,0
2008,Other,40-44 years,Boy,Forth child or more,45-49 years,0
2008,Other,45-49 years,Boy,Forth child or more,45-49 years,0
2008,Other,50 years or older,Boy,Forth child or more,45-49 years,0
2008,Married,Less than 20 years,Boy,Mother not married,45-49 years,0
2008,Married,20-24 years,Boy,Mother not married,45-49 years,0
2008,Married,25-29 years,Boy,Mother not married,45-49 years,0
2008,Married,30-34 years,Boy,Mother not married,45-49 years,0
2008,Married,35-39 years,Boy,Mother not married,45-49 years,0
2008,Married,40-44 years,Boy,Mother not married,45-49 years,0
2008,Married,45-49 years,Boy,Mother not married,45-49 years,0
2008,Married,50 years or older,Boy,Mother not married,45-49 years,0
2008,Other,Less than 20 years,Boy,Mother not married,45-49 years,1
2008,Other,20-24 years,Boy,Mother not married,45-49 years,7
2008,Other,25-29 years,Boy,Mother not married,45-49 years,35
2008,Other,30-34 years,Boy,Mother not married,45-49 years,70
2008,Other,35-39 years,Boy,Mother not married,45-49 years,119
2008,Other,40-44 years,Boy,Mother not married,45-49 years,84
2008,Other,45-49 years,Boy,Mother not married,45-49 years,4
2008,Other,50 years or older,Boy,Mother not married,45-49 years,0
2008,Married,Less than 20 years,Girl,First child,45-49 years,0
2008,Married,20-24 years,Girl,First child,45-49 years,8
2008,Married,25-29 years,Girl,First child,45-49 years,52
2008,Married,30-34 years,Girl,First child,45-49 years,121
2008,Married,35-39 years,Girl,First child,45-49 years,171
2008,Married,40-44 years,Girl,First child,45-49 years,110
2008,Married,45-49 years,Girl,First child,45-49 years,8
2008,Married,50 years or older,Girl,First child,45-49 years,0
2008,Other,Less than 20 years,Girl,First child,45-49 years,0
2008,Other,20-24 years,Girl,First child,45-49 years,0
2008,Other,25-29 years,Girl,First child,45-49 years,0
2008,Other,30-34 years,Girl,First child,45-49 years,0
2008,Other,35-39 years,Girl,First child,45-49 years,0
2008,Other,40-44 years,Girl,First child,45-49 years,0
2008,Other,45-49 years,Girl,First child,45-49 years,0
2008,Other,50 years or older,Girl,First child,45-49 years,0
2008,Married,Less than 20 years,Girl,Second child,45-49 years,0
2008,Married,20-24 years,Girl,Second child,45-49 years,5
2008,Married,25-29 years,Girl,Second child,45-49 years,41
2008,Married,30-34 years,Girl,Second child,45-49 years,106
2008,Married,35-39 years,Girl,Second child,45-49 years,191
2008,Married,40-44 years,Girl,Second child,45-49 years,93
2008,Married,45-49 years,Girl,Second child,45-49 years,8
2008,Married,50 years or older,Girl,Second child,45-49 years,0
2008,Other,Less than 20 years,Girl,Second child,45-49 years,0
2008,Other,20-24 years,Girl,Second child,45-49 years,0
2008,Other,25-29 years,Girl,Second child,45-49 years,0
2008,Other,30-34 years,Girl,Second child,45-49 years,0
2008,Other,35-39 years,Girl,Second child,45-49 years,0
2008,Other,40-44 years,Girl,Second child,45-49 years,0
2008,Other,45-49 years,Girl,Second child,45-49 years,0
2008,Other,50 years or older,Girl,Second child,45-49 years,0
2008,Married,Less than 20 years,Girl,Third child,45-49 years,0
2008,Married,20-24 years,Girl,Third child,45-49 years,0
2008,Married,25-29 years,Girl,Third child,45-49 years,10
2008,Married,30-34 years,Girl,Third child,45-49 years,38
2008,Married,35-39 years,Girl,Third child,45-49 years,89
2008,Married,40-44 years,Girl,Third child,45-49 years,57
2008,Married,45-49 years,Girl,Third child,45-49 years,5
2008,Married,50 years or older,Girl,Third child,45-49 years,0
2008,Other,Less than 20 years,Girl,Third child,45-49 years,0
2008,Other,20-24 years,Girl,Third child,45-49 years,0
2008,Other,25-29 years,Girl,Third child,45-49 years,0
2008,Other,30-34 years,Girl,Third child,45-49 years,0
2008,Other,35-39 years,Girl,Third child,45-49 years,0
2008,Other,40-44 years,Girl,Third child,45-49 years,0
2008,Other,45-49 years,Girl,Third child,45-49 years,0
2008,Other,50 years or older,Girl,Third child,45-49 years,0
2008,Married,Less than 20 years,Girl,Forth child or more,45-49 years,0
2008,Married,20-24 years,Girl,Forth child or more,45-49 years,0
2008,Married,25-29 years,Girl,Forth child or more,45-49 years,3
2008,Married,30-34 years,Girl,Forth child or more,45-49 years,12
2008,Married,35-39 years,Girl,Forth child or more,45-49 years,40
2008,Married,40-44 years,Girl,Forth child or more,45-49 years,43
2008,Married,45-49 years,Girl,Forth child or more,45-49 years,3
2008,Married,50 years or older,Girl,Forth child or more,45-49 years,0
2008,Other,Less than 20 years,Girl,Forth child or more,45-49 years,0
2008,Other,20-24 years,Girl,Forth child or more,45-49 years,0
2008,Other,25-29 years,Girl,Forth child or more,45-49 years,0
2008,Other,30-34 years,Girl,Forth child or more,45-49 years,0
2008,Other,35-39 years,Girl,Forth child or more,45-49 years,0
2008,Other,40-44 years,Girl,Forth child or more,45-49 years,0
2008,Other,45-49 years,Girl,Forth child or more,45-49 years,0
2008,Other,50 years or older,Girl,Forth child or more,45-49 years,0
2008,Married,Less than 20 years,Girl,Mother not married,45-49 years,0
2008,Married,20-24 years,Girl,Mother not married,45-49 years,0
2008,Married,25-29 years,Girl,Mother not married,45-49 years,0
2008,Married,30-34 years,Girl,Mother not married,45-49 years,0
2008,Married,35-39 years,Girl,Mother not married,45-49 years,0
2008,Married,40-44 years,Girl,Mother not married,45-49 years,0
2008,Married,45-49 years,Girl,Mother not married,45-49 years,0
2008,Married,50 years or older,Girl,Mother not married,45-49 years,0
2008,Other,Less than 20 years,Girl,Mother not married,45-49 years,0
2008,Other,20-24 years,Girl,Mother not married,45-49 years,5
2008,Other,25-29 years,Girl,Mother not married,45-49 years,29
2008,Other,30-34 years,Girl,Mother not married,45-49 years,71
2008,Other,35-39 years,Girl,Mother not married,45-49 years,120
2008,Other,40-44 years,Girl,Mother not married,45-49 years,81
2008,Other,45-49 years,Girl,Mother not married,45-49 years,7
2008,Other,50 years or older,Girl,Mother not married,45-49 years,0
2009,Married,Less than 20 years,Boy,First child,45-49 years,0
2009,Married,20-24 years,Boy,First child,45-49 years,10
2009,Married,25-29 years,Boy,First child,45-49 years,58
2009,Married,30-34 years,Boy,First child,45-49 years,136
2009,Married,35-39 years,Boy,First child,45-49 years,178
2009,Married,40-44 years,Boy,First child,45-49 years,106
2009,Married,45-49 years,Boy,First child,45-49 years,9
2009,Married,50 years or older,Boy,First child,45-49 years,1
2009,Other,Less than 20 years,Boy,First child,45-49 years,0
2009,Other,20-24 years,Boy,First child,45-49 years,0
2009,Other,25-29 years,Boy,First child,45-49 years,0
2009,Other,30-34 years,Boy,First child,45-49 years,0
2009,Other,35-39 years,Boy,First child,45-49 years,0
2009,Other,40-44 years,Boy,First child,45-49 years,0
2009,Other,45-49 years,Boy,First child,45-49 years,0
2009,Other,50 years or older,Boy,First child,45-49 years,0
2009,Married,Less than 20 years,Boy,Second child,45-49 years,0
2009,Married,20-24 years,Boy,Second child,45-49 years,1
2009,Married,25-29 years,Boy,Second child,45-49 years,36
2009,Married,30-34 years,Boy,Second child,45-49 years,135
2009,Married,35-39 years,Boy,Second child,45-49 years,256
2009,Married,40-44 years,Boy,Second child,45-49 years,120
2009,Married,45-49 years,Boy,Second child,45-49 years,11
2009,Married,50 years or older,Boy,Second child,45-49 years,0
2009,Other,Less than 20 years,Boy,Second child,45-49 years,0
2009,Other,20-24 years,Boy,Second child,45-49 years,0
2009,Other,25-29 years,Boy,Second child,45-49 years,0
2009,Other,30-34 years,Boy,Second child,45-49 years,0
2009,Other,35-39 years,Boy,Second child,45-49 years,0
2009,Other,40-44 years,Boy,Second child,45-49 years,0
2009,Other,45-49 years,Boy,Second child,45-49 years,0
2009,Other,50 years or older,Boy,Second child,45-49 years,0
2009,Married,Less than 20 years,Boy,Third child,45-49 years,0
2009,Married,20-24 years,Boy,Third child,45-49 years,0
2009,Married,25-29 years,Boy,Third child,45-49 years,8
2009,Married,30-34 years,Boy,Third child,45-49 years,43
2009,Married,35-39 years,Boy,Third child,45-49 years,109
2009,Married,40-44 years,Boy,Third child,45-49 years,51
2009,Married,45-49 years,Boy,Third child,45-49 years,8
2009,Married,50 years or older,Boy,Third child,45-49 years,0
2009,Other,Less than 20 years,Boy,Third child,45-49 years,0
2009,Other,20-24 years,Boy,Third child,45-49 years,0
2009,Other,25-29 years,Boy,Third child,45-49 years,0
2009,Other,30-34 years,Boy,Third child,45-49 years,0
2009,Other,35-39 years,Boy,Third child,45-49 years,0
2009,Other,40-44 years,Boy,Third child,45-49 years,0
2009,Other,45-49 years,Boy,Third child,45-49 years,0
2009,Other,50 years or older,Boy,Third child,45-49 years,0
2009,Married,Less than 20 years,Boy,Forth child or more,45-49 years,0
2009,Married,20-24 years,Boy,Forth child or more,45-49 years,0
2009,Married,25-29 years,Boy,Forth child or more,45-49 years,0
2009,Married,30-34 years,Boy,Forth child or more,45-49 years,16
2009,Married,35-39 years,Boy,Forth child or more,45-49 years,38
2009,Married,40-44 years,Boy,Forth child or more,45-49 years,53
2009,Married,45-49 years,Boy,Forth child or more,45-49 years,6
2009,Married,50 years or older,Boy,Forth child or more,45-49 years,0
2009,Other,Less than 20 years,Boy,Forth child or more,45-49 years,0
2009,Other,20-24 years,Boy,Forth child or more,45-49 years,0
2009,Other,25-29 years,Boy,Forth child or more,45-49 years,0
2009,Other,30-34 years,Boy,Forth child or more,45-49 years,0
2009,Other,35-39 years,Boy,Forth child or more,45-49 years,0
2009,Other,40-44 years,Boy,Forth child or more,45-49 years,0
2009,Other,45-49 years,Boy,Forth child or more,45-49 years,0
2009,Other,50 years or older,Boy,Forth child or more,45-49 years,0
2009,Married,Less than 20 years,Boy,Mother not married,45-49 years,0
2009,Married,20-24 years,Boy,Mother not married,45-49 years,0
2009,Married,25-29 years,Boy,Mother not married,45-49 years,0
2009,Married,30-34 years,Boy,Mother not married,45-49 years,0
2009,Married,35-39 years,Boy,Mother not married,45-49 years,0
2009,Married,40-44 years,Boy,Mother not married,45-49 years,0
2009,Married,45-49 years,Boy,Mother not married,45-49 years,0
2009,Married,50 years or older,Boy,Mother not married,45-49 years,0
2009,Other,Less than 20 years,Boy,Mother not married,45-49 years,0
2009,Other,20-24 years,Boy,Mother not married,45-49 years,5
2009,Other,25-29 years,Boy,Mother not married,45-49 years,33
2009,Other,30-34 years,Boy,Mother not married,45-49 years,70
2009,Other,35-39 years,Boy,Mother not married,45-49 years,143
2009,Other,40-44 years,Boy,Mother not married,45-49 years,92
2009,Other,45-49 years,Boy,Mother not married,45-49 years,7
2009,Other,50 years or older,Boy,Mother not married,45-49 years,0
2009,Married,Less than 20 years,Girl,First child,45-49 years,0
2009,Married,20-24 years,Girl,First child,45-49 years,8
2009,Married,25-29 years,Girl,First child,45-49 years,59
2009,Married,30-34 years,Girl,First child,45-49 years,133
2009,Married,35-39 years,Girl,First child,45-49 years,175
2009,Married,40-44 years,Girl,First child,45-49 years,104
2009,Married,45-49 years,Girl,First child,45-49 years,11
2009,Married,50 years or older,Girl,First child,45-49 years,0
2009,Other,Less than 20 years,Girl,First child,45-49 years,0
2009,Other,20-24 years,Girl,First child,45-49 years,0
2009,Other,25-29 years,Girl,First child,45-49 years,0
2009,Other,30-34 years,Girl,First child,45-49 years,0
2009,Other,35-39 years,Girl,First child,45-49 years,0
2009,Other,40-44 years,Girl,First child,45-49 years,0
2009,Other,45-49 years,Girl,First child,45-49 years,0
2009,Other,50 years or older,Girl,First child,45-49 years,0
2009,Married,Less than 20 years,Girl,Second child,45-49 years,0
2009,Married,20-24 years,Girl,Second child,45-49 years,1
2009,Married,25-29 years,Girl,Second child,45-49 years,22
2009,Married,30-34 years,Girl,Second child,45-49 years,134
2009,Married,35-39 years,Girl,Second child,45-49 years,186
2009,Married,40-44 years,Girl,Second child,45-49 years,106
2009,Married,45-49 years,Girl,Second child,45-49 years,9
2009,Married,50 years or older,Girl,Second child,45-49 years,0
2009,Other,Less than 20 years,Girl,Second child,45-49 years,0
2009,Other,20-24 years,Girl,Second child,45-49 years,0
2009,Other,25-29 years,Girl,Second child,45-49 years,0
2009,Other,30-34 years,Girl,Second child,45-49 years,0
2009,Other,35-39 years,Girl,Second child,45-49 years,0
2009,Other,40-44 years,Girl,Second child,45-49 years,0
2009,Other,45-49 years,Girl,Second child,45-49 years,0
2009,Other,50 years or older,Girl,Second child,45-49 years,0
2009,Married,Less than 20 years,Girl,Third child,45-49 years,0
2009,Married,20-24 years,Girl,Third child,45-49 years,1
2009,Married,25-29 years,Girl,Third child,45-49 years,11
2009,Married,30-34 years,Girl,Third child,45-49 years,45
2009,Married,35-39 years,Girl,Third child,45-49 years,101
2009,Married,40-44 years,Girl,Third child,45-49 years,61
2009,Married,45-49 years,Girl,Third child,45-49 years,4
2009,Married,50 years or older,Girl,Third child,45-49 years,0
2009,Other,Less than 20 years,Girl,Third child,45-49 years,0
2009,Other,20-24 years,Girl,Third child,45-49 years,0
2009,Other,25-29 years,Girl,Third child,45-49 years,0
2009,Other,30-34 years,Girl,Third child,45-49 years,0
2009,Other,35-39 years,Girl,Third child,45-49 years,0
2009,Other,40-44 years,Girl,Third child,45-49 years,0
2009,Other,45-49 years,Girl,Third child,45-49 years,0
2009,Other,50 years or older,Girl,Third child,45-49 years,0
2009,Married,Less than 20 years,Girl,Forth child or more,45-49 years,0
2009,Married,20-24 years,Girl,Forth child or more,45-49 years,0
2009,Married,25-29 years,Girl,Forth child or more,45-49 years,1
2009,Married,30-34 years,Girl,Forth child or more,45-49 years,21
2009,Married,35-39 years,Girl,Forth child or more,45-49 years,39
2009,Married,40-44 years,Girl,Forth child or more,45-49 years,44
2009,Married,45-49 years,Girl,Forth child or more,45-49 years,6
2009,Married,50 years or older,Girl,Forth child or more,45-49 years,0
2009,Other,Less than 20 years,Girl,Forth child or more,45-49 years,0
2009,Other,20-24 years,Girl,Forth child or more,45-49 years,0
2009,Other,25-29 years,Girl,Forth child or more,45-49 years,0
2009,Other,30-34 years,Girl,Forth child or more,45-49 years,0
2009,Other,35-39 years,Girl,Forth child or more,45-49 years,0
2009,Other,40-44 years,Girl,Forth child or more,45-49 years,0
2009,Other,45-49 years,Girl,Forth child or more,45-49 years,0
2009,Other,50 years or older,Girl,Forth child or more,45-49 years,0
2009,Married,Less than 20 years,Girl,Mother not married,45-49 years,0
2009,Married,20-24 years,Girl,Mother not married,45-49 years,0
2009,Married,25-29 years,Girl,Mother not married,45-49 years,0
2009,Married,30-34 years,Girl,Mother not married,45-49 years,0
2009,Married,35-39 years,Girl,Mother not married,45-49 years,0
2009,Married,40-44 years,Girl,Mother not married,45-49 years,0
2009,Married,45-49 years,Girl,Mother not married,45-49 years,0
2009,Married,50 years or older,Girl,Mother not married,45-49 years,0
2009,Other,Less than 20 years,Girl,Mother not married,45-49 years,0
2009,Other,20-24 years,Girl,Mother not married,45-49 years,4
2009,Other,25-29 years,Girl,Mother not married,45-49 years,36
2009,Other,30-34 years,Girl,Mother not married,45-49 years,76
2009,Other,35-39 years,Girl,Mother not married,45-49 years,137
2009,Other,40-44 years,Girl,Mother not married,45-49 years,77
2009,Other,45-49 years,Girl,Mother not married,45-49 years,9
2009,Other,50 years or older,Girl,Mother not married,45-49 years,0
2010,Married,Less than 20 years,Boy,First child,45-49 years,0
2010,Married,20-24 years,Boy,First child,45-49 years,5
2010,Married,25-29 years,Boy,First child,45-49 years,69
2010,Married,30-34 years,Boy,First child,45-49 years,167
2010,Married,35-39 years,Boy,First child,45-49 years,212
2010,Married,40-44 years,Boy,First child,45-49 years,114
2010,Married,45-49 years,Boy,First child,45-49 years,15
2010,Married,50 years or older,Boy,First child,45-49 years,0
2010,Other,Less than 20 years,Boy,First child,45-49 years,0
2010,Other,20-24 years,Boy,First child,45-49 years,0
2010,Other,25-29 years,Boy,First child,45-49 years,0
2010,Other,30-34 years,Boy,First child,45-49 years,0
2010,Other,35-39 years,Boy,First child,45-49 years,0
2010,Other,40-44 years,Boy,First child,45-49 years,0
2010,Other,45-49 years,Boy,First child,45-49 years,0
2010,Other,50 years or older,Boy,First child,45-49 years,0
2010,Married,Less than 20 years,Boy,Second child,45-49 years,0
2010,Married,20-24 years,Boy,Second child,45-49 years,1
2010,Married,25-29 years,Boy,Second child,45-49 years,26
2010,Married,30-34 years,Boy,Second child,45-49 years,111
2010,Married,35-39 years,Boy,Second child,45-49 years,251
2010,Married,40-44 years,Boy,Second child,45-49 years,141
2010,Married,45-49 years,Boy,Second child,45-49 years,9
2010,Married,50 years or older,Boy,Second child,45-49 years,1
2010,Other,Less than 20 years,Boy,Second child,45-49 years,0
2010,Other,20-24 years,Boy,Second child,45-49 years,0
2010,Other,25-29 years,Boy,Second child,45-49 years,0
2010,Other,30-34 years,Boy,Second child,45-49 years,0
2010,Other,35-39 years,Boy,Second child,45-49 years,0
